Table Part,Main Table,Filter,Related Tables,Comments
All_assets,,,,
All_assets_other_than_securitisations_covered_bonds,,,,
All_liabilities,,,,
Collateral_given_instrument,,,,
Collateral_received_instrument,,,,
Debt_securities,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV,TYP_SCRTY_EXCHNG_TRDBL_DRVTV in 11_Debt security without underlying assets:13_Asset backed security:14_Covered bond,,
Debt_securities_asset_backed_securities,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV,TYP_SCRTY_EXCHNG_TRDBL_DRVTV in 13_Asset backed security,,
Debt_securities_covered_bonds_securities,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV,TYP_SCRTY_EXCHNG_TRDBL_DRVTV in 14_Covered bond,,
Debt_securities_other_than_covered_bonds_and_ABSs,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV,TYP_SCRTY_EXCHNG_TRDBL_DRVTV in 11_Debt security without underlying assets,,
Debt_securities_issued,BIRD_DBT_SCRTY_ISSD,TYP_PRDCT in 610_Certificates of deposits:620_Asset-backed securities:630_Covered bonds:640_Hybrid contracts:651_Other debt securities issued - convertible compound financial instruments:652_Other debt securities issued - non-convertible,,
Debt_securities_issued_asset_backed_securities,BIRD_DBT_SCRTY_ISSD,TYP_PRDCT in 620_Asset-backed securities,,
Debt_securities_issued_covered_bonds_securities,BIRD_DBT_SCRTY_ISSD,TYP_PRDCT in 630_Covered bonds,,
Debt_securities_issued_other_than_covered_bonds_and_ABSs,BIRD_DBT_SCRTY_ISSD,TYP_PRDCT in 610_Certificates of deposits:640_Hybrid contracts:651_Other debt securities issued - convertible compound financial instruments:652_Other debt securities issued - non-convertible,,
Deposits,BIRD_INSTRMNT,TYP_INSTRMNT in 12_Deposit redeemable at notice:18_Term repurchase agreement instrument:19_Open repurchase agreement instrument:511_Tranferable deposit:512_Other overnight deposits:522_Deposits with agreed maturity - other than counterpart liability to non-derecognised loans + non negotiable debt securities issued,,
Deposits_other_than_repurchase_agreements,BIRD_INSTRMNT,TYP_INSTRMNT in 12_Deposit redeemable at notice:511_Tranferable deposit:512_Other overnight deposits:522_Deposits with agreed maturity - other than counterpart liability to non-derecognised loans + non negotiable debt securities issued,,
Repurchase_agreements,BIRD_INSTRMNT,TYP_INSTRMNT in 18_Term repurchase agreement instrument:19_Open repurchase agreement instrument,,
Derivatives_ETC,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV,TYP_SCRTY_EXCHNG_TRDBL_DRVTV in 3_Exchange tradable option:4_Exchange tradable future,,
Derivatives_OTC,BIRD_INSTRMNT,TYP_INSTRMNT in 5_Other OTC Derivative instrument:6_OTC Total return swap:7_OTC Credit default swap:8_Other OTC Swap:9_OTC Credit spread option:10_OTC Option other than OTC Credit spread option,,
Equity_instruments_security,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV,TYP_SCRTY_EXCHNG_TRDBL_DRVTV in 6_Equity security:5_Fund security,,
Equity_instruments_instrument,BIRD_INSTRMNT,TYP_INSTRMNT in 2_Equity instrument that is not a security,,
Financial_guarantees_received,BIRD_INSTRMNT,TYP_INSTRMNT in 13_Financial guarantee instrument for a Debt security:14_Financial guarantee instrument not for a Debt security AND TYP_ABSTRCT_INSTRMNT_RL in 6_Off-balance sheet item received instrument,,
Loan_commitments_received,BIRD_INSTRMNT,TYP_CMMTMNT in 10_Loans commitments received,,
Other_Commitments_received,BIRD_INSTRMNT,TYP_CMMTMNT in 11_Other commitments received,,
Loans_and_advances,BIRD_INSTRMNT,TYP_INSTRMNT in 120_Transit items:130_Suspence items:140_Advances that are not loans other than transit items and suspence items:51_Credit card debt:12_Deposit redeemable at notice:522_Deposits with agreed maturity - other than counterpart liability to non-derecognised loans:31_Other overnight deposits:511_Tranferable overnight deposits:80_Finance leases:1022_Other loans:1020_Factoring:1023_Other trade receivables,,
Non_Negotiable_bonds,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,TYP_INSTRMNT in 210_Debt securities Negotiable =False,BIRD_SCRTY_PSTN:BIRD_PRTY:BIRD_CLLTRL,
Debt_securities_excluding_non_negotiable_bonds,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,TYP_INSTRMNT in 210_Debt securities Negotiable =True,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Debt_securities_issued,BIRD_DBT_SCRTY_ISSD,TYP_INSTRMNT in 210_Debt securities:211_Debt securities - Asset backed securities (ABS):2102_Certificates of deposits:212_Debt securities - Covered bonds:2104_Hybrid contracts:2105_Other debt securities issued:2106_Other debt securities issued - convertible compound financial instruments:2107_Other debt securities issued - non-convertible:,,
Financial_guarantees_given,BIRD_CRDT_FCLTY,TYP_INSTRMNT in 920_Financial guarantees given,,
Financial_guarantees_received,BIRD_INSTRMNT,TYP_INSTRMNT in 960_Financial guarantees received,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Intangible_assets_other_than_Goodwill,BIRD_NN_FNNCL_ASST,TYP_INSTRMNT in 80_Finance leases,,
Loan_commitments_given,BIRD_CRDT_FCLTY,TYP_INSTRMNT in 910_Loan commitments given,,
Loan_commitments_received,BIRD_INSTRMNT,TYP_INSTRMNT in 950_Loan commitments received,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Loans_and_advances,BIRD_INSTRMNT,TYP_INSTRMNT in 149_Loans and advances:51_Credit card debt:71_Trade receivables:80_Finance leases:1003_Reverse repurchase agreements:114_Term loans Other than Trade receivables  Credit card balance  Finance leases  Reverse repurchase agreements  on demand and short notice.:141_Advances that are not loans:1491_Commercial real estate (CRE) loans:,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Off_balance_sheet_exposures_subject_to_credit_risk_excluding_instruments_subject_to_securitisation_credit_risk_treatment,BIRD_NN_FNNCL_ASST,TYP_INSTRMNT in 920_Financial guarantees given:930_Other commitments given:910_Loan commitments given:,,
Off-balance_sheet_exposures_subject_to_credit_risk,BIRD_NN_FNNCL_ASST,TYP_INSTRMNT in 949_Off-balance sheet exposures subject to credit risk,,
Other_Commitments_given,BIRD_CRDT_FCLTY,TYP_INSTRMNT in 930_Other commitments given,,
Other_Commitments_received,BIRD_INSTRMNT,TYP_INSTRMNT in 970_Other commitments received,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Other_financial_liabilities,BIRD_NN_FNNCL_LBLTY,TYP_INSTRMNT in 670_Other financial liabilities:80_Finance leases:,,
Short_positions,BIRD_SCRTY_PSTN,TYP_INSTRMNT in 213_Debt securities  Equity instruments:210_Debt securities:241_Equity instruments:,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Tangible_assets,BIRD_INSTRMNT,TYP_INSTRMNT in 80_Finance leases,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
All_assets,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 504_Non-current assets and disposal groups classified as held for sale:499_All assets:4161_Assets other than property  plant and Equipment:,,
All_equity,BIRD_NN_FNNCL_LBLTY,TYP_ACCNTNG_ITM in 889_All equity,,
All_liabilities,BIRD_NN_FNNCL_LBLTY,TYP_ACCNTNG_ITM in 749_All liabilities,,
Cash_on_hand,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 10_Cash on hands,,
Current_tax_assets,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 440_Current tax assets,,
Current_tax_liabilities,BIRD_NN_FNNCL_LBLTY,TYP_ACCNTNG_ITM in 710_Provisions. Other than commitments and guarantees given and payment commitments to resolution funds and deposit guarantee schemes,,
Deferred_tax_assets,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 450_Deferred tax assets,,
Deferred_tax_liabilities,BIRD_NN_FNNCL_LBLTY,TYP_ACCNTNG_ITM in 720_Deferred tax liabilities,,
Fair_value_changes,BIRD_NN_FNNCL_LBLTY,TYP_ACCNTNG_ITM in 401_Fair value changes of the hedged items in portfolio hedge of interest rate risk - Financial assets:402_Fair value changes of the hedged items in portfolio hedge of interest rate risk - Financial liabilities:,,
Goodwill,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 420_Intangible assets. Goodwill,,
Haircuts_for_trading_assets_at_fair_value,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 60_Haircuts for trading assets at fair value,,
Haircuts_for_trading_liabilities_at_fair_value,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 61_Haircuts for trading liabilities at fair value,,
Intangible_assets,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 431_Intangible assets,,
Share_capital_repayable_on_demand,BIRD_NN_FNNCL_LBLTY,TYP_ACCNTNG_ITM in 730_Share capital repayable on demand,,
Tax_assets,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 451_Tax assets,,
Tax_liabilities,BIRD_NN_FNNCL_LBLTY,TYP_ACCNTNG_ITM in 721_Tax liabilities,,
Tax_other_comprehensive_income,BIRD_NN_FNNCL_ASST,TYP_ACCNTNG_ITM in 280_Tax other comprehensive income,,
Collateral_received,BIRD_CLLTRL,Not Sure,,
