Table Part,Main Table,Filter,Related Tables,Comments
Non_Negotiable_bonds,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL,TYP_INSTRMNT in 210_Debt securities Negotiable =False,BIRD_ABSTRCT_INSTRMNT_RL_EIL:BIRD_PRTY_EIL:BIRD_CLLTRL_EIL,
Debt_securities_excluding_non_negotiable_bonds,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL,TYP_INSTRMNT in 210_Debt securities,BIRD_ABSTRCT_INSTRMNT_RL_EIL:BIRD_PRTY_EIL:BIRD_CLLTRL_EIL,
Debt_securities_issued,BIRD_DBT_SCRTY_ISSD_EIL,TYP_INSTRMNT in 210_Debt securities:211_Debt securities - Asset backed securities (ABS):2102_Certificates of deposits:212_Debt securities - Covered bonds:2104_Hybrid contracts:2105_Other debt securities issued:2106_Other debt securities issued - convertible compound financial instruments:2107_Other debt securities issued - non-convertible:,,
Deposits,BIRD_INSTRMNT_EIL,TYP_INSTRMNT in 549_Deposits:260_Current accounts:547_Deposits other than current accounts (liabilities)  repurchase agreements:300_Repurchase agreements:,BIRD_ABSTRCT_INSTRMNT_RL_EIL:BIRD_PRTY_EIL:BIRD_CLLTRL_EIL,
Derivatives_OTC,BIRD_INSTRMNT_EIL,TYP_INSTRMNT in 310_Derivatives:390_Option:329_Other than option:3101_Credit default swap:3102_Credit spread option:3103_Total return swap:3104_Credit derivatives other than Credit default swaps  Credit spread options  Total return swaps:,,
Derivatives_ETC,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_EIL,TYP_INSTRMNT in 310_Derivatives:390_Option:329_Other than option:3101_Credit default swap:3102_Credit spread option:3103_Total return swap:3104_Credit derivatives other than Credit default swaps  Credit spread options  Total return swaps:,,
Equity_instruments,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL,TYP_INSTRMNT in 241_Equity instruments,,
Equity_instruments_issued,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL,TYP_INSTRMNT in 241_Equity instruments,,
Financial_guarantees_given,BIRD_CRDT_FCLTY_EIL,TYP_INSTRMNT in 920_Financial guarantees given,,
Financial_guarantees_received,BIRD_INSTRMNT_EIL,TYP_INSTRMNT in 960_Financial guarantees received,BIRD_ABSTRCT_INSTRMNT_RL_EIL:BIRD_PRTY_EIL:BIRD_CLLTRL_EIL,
