Main Catagory,Main Catagory Name ,Table Part,Comments
EBA_MC_EBA_x469,Loans_and_advances,Non_Negotiable_bonds,
EBA_MC_EBA_x60,Debt_securities_excluding_non_negotiable_bonds,Debt_securities_excluding_non_negotiable_bonds,
EBA_MC_EBA_x146,Debt_securities_issued,Debt_securities_issued,
EBA_MC_EBA_x135,Deposits,Deposits,
EBA_MC_EBA_x99,Derivatives,Derivatives_OTC,
EBA_MC_EBA_x99,Derivatives,Derivatives_ETC,
EBA_MC_EBA_x130,Equity_instruments,Equity_instruments,
EBA_MC_EBA_x154,Financial_guarantees_given,Financial_guarantees_given,
EBA_MC_EBA_x155,Financial_guarantees_received,Financial_guarantees_received,
EBA_MC_EBA_x210,Intangible_assets_other_than_Goodwill,Intangible_assets_other_than_Goodwill,
EBA_MC_EBA_x221,Loan_commitments_given,Loan_commitments_given,
EBA_MC_EBA_x69,Loan_commitments_received,Loan_commitments_received,
EBA_MC_EBA_x469,Loans_and_advances,Loans_and_advances,
EBA_MC_EBA_x246,Off_balance_sheet_exposures_subject_to_credit_risk_excluding_instruments_subject_to_securitisation_credit_risk_treatment,Off_balance_sheet_exposures_subject_to_credit_risk_excluding_instruments_subject_to_securitisation_credit_risk_treatment,
EBA_MC_EBA_x251,Off-balance_sheet_exposures_subject_to_credit_risk,Off-balance_sheet_exposures_subject_to_credit_risk,
EBA_MC_EBA_x52,Other_Commitments_given,Other_Commitments_given,
EBA_MC_EBA_x263,Other_Commitments_Received,Other_Commitments_Received,
EBA_MC_EBA_x264,Other_financial_liabilities,Other_financial_liabilities,
EBA_MC_EBA_x323,Short_positions,Short_positions,
EBA_MC_EBA_x329,Tangible_assets,Tangible_assets,
EBA_MC_EBA_x25,All_assets,All_assets,
EBA_MC_EBA_x28,All_equity,All_equity,
EBA_MC_EBA_x31,All_liabilities,All_liabilities,
EBA_MC_EBA_x44,Cash_on_hand,Cash_on_hand,
EBA_MC_EBA_x56,Current_tax_assets,Current_tax_assets,
EBA_MC_EBA_x57,Current_tax_liabilities,Current_tax_liabilities,
EBA_MC_EBA_x76,Deferred_tax_assets,Deferred_tax_assets,
EBA_MC_EBA_x81,Deferred_tax_liabilities,Deferred_tax_liabilities,
EBA_MC_EBA_x691,Fair_value_changes,Fair_value_changes,
EBA_MC_EBA_x184,Goodwill,Goodwill,
EBA_MC_EBA_x634,Haircuts_for_trading_assets_at_fair_value,Haircuts_for_trading_assets_at_fair_value,
EBA_MC_EBA_x635,Haircuts_for_trading_liabilities_at_fair_value,Haircuts_for_trading_liabilities_at_fair_value,
EBA_MC_EBA_x209,Intangible_assets,Intangible_assets,
EBA_MC_EBA_x320,Share_capital_repayable_on_demand,Share_capital_repayable_on_demand,
EBA_MC_EBA_x332,Tax_assets,Tax_assets,
EBA_MC_EBA_x335,Tax_liabilities,Tax_liabilities,
EBA_MC_EBA_x336,Tax_other_comprehensive_income,Tax_other_comprehensive_income,
EBA_MC_EBA_x409,Collateral_received,Collateral_received,
