VTL Layer,LDM,IL,Filter,Joins,FilterName,usd_in_f01
CSH_ON_HND,Cash On Hand,Cash_on_hand,,,filter1,X
DBT_SCRTS_DBTRS_FVH,,,,,,
DBT_SCRTS_ISSD_FVH,Debt security issued (by the reporting agent),Security_position,,,filter2,
DPSTS_THT_LBLTS_FVH,Deposits,Instrument,Type_Instrument = 12 Deposit Redeemable At Notice or Type_Instrument = 522 Deposits with agreed maturity - other than counterpart liability to non-derecognised loans,,filter1,
DRVTVS_ASSTS_FVH,Over the counter (OTC) Derivative instrument,Instrument,"Type Instrument = 10 OTC Option other than OTC Credit spread option, or Type Instrument =5 Other OTC Derivative instrument, or Type Instrument = 6 OTC Total return swap, or Type Instrument = 7 OTC Credit default swap, or Type Instrument = 8 Other OTC Swap, or Type Instrument = 9 OTC Credit spread option",,filter2,
DRVTVS_ASSTS_FVH,Exchange tradable derivative position,Exchange_tradable_derivative_position,,,filter1,
DRVTVS_FVH,Over the counter (OTC) Derivative instrument,Instrument,"Type Instrument = 10 OTC Option other than OTC Credit spread option, or Type Instrument =5 Other OTC Derivative instrument, or Type Instrument = 6 OTC Total return swap, or Type Instrument = 7 OTC Credit default swap, or Type Instrument = 8 Other OTC Swap, or Type Instrument = 9 OTC Credit spread option",,filter3,
DRVTVS_FVH,Exchange tradable derivative position,Exchange_tradable_derivative_position,,,filter2,
DRVTVS_LBLTS_FVH,Over the counter (OTC) Derivative instrument,Instrument,"Type Instrument = 10 OTC Option other than OTC Credit spread option, or Type Instrument =5 Other OTC Derivative instrument, or Type Instrument = 6 OTC Total return swap, or Type Instrument = 7 OTC Credit default swap, or Type Instrument = 8 Other OTC Swap, or Type Instrument = 9 OTC Credit spread option",,filter4,
DRVTVS_LBLTS_FVH,Exchange tradable derivative position,Exchange_tradable_derivative_position,,,filter3,
EQTY_INSTRMNTS_FVH,Security Position,Security_position,Type_Security_Position = Long  debt Security,,filter3,
FV_CHNGS_HDG_ITM_ASSTS,?,Instrument,?,,filter5,X
FV_CHNGS_HDG_ITM_LBLTS,,,,,,
LNS_ADVNCS_HFS,Loan (excluding repurchase agreement) and advance,Instrument,Type_Instrument = 1022 other loans or 11other advance,,filter7,
OTHR_ASSTS_HFS,?,Instrument,?,,filter8,
OTHR_INTNGBL_ASSTS_HFS,Other  Intangible Assets,Non_financial_asset,"Type_non-financial_asset= 6 Other intangible asset not taken into possession, 7 Other intangible asset taken into possession before the period,8 Other intangible asset taken into possession during the period",,filter3,
OWND_SCRTS,,,,,,
OWND_SCRTS_HFS,,,,,,
PRPRTY_PLNT_EQPMNT_HFS,"Property, plant and Equipment",Non_financial_asset,Non_financial_asset,"Type_non-financial_asset in 10 Property, plant and equipment not taken into possession,11 Property, plant and equipment taken into possession before the period,12 Property, plant and equipment taken into possession during the period",filter4,
OTHR_FNNCL_LBLTS_NT_FNNCL_GRNTS_LN_CMMTMNTS_GVN_HFS,,,,,,
CSH_ON_HND_HFS,Cash On Hand,Cash_on_hand,,,filter2,
DBT_SCRTS_ISSD_HFS,,,,,,
DPSTS_THT_LBLTS_HFS,,,,,,
NN_FNNCL_LBLTS_HFS,,,,,,
HFS_ASSTS,Cash On Hand,Cash_on_hand,,,filter2,X
HFS_LBLTS,,,,,,
GDWLL_HFS,,,,,,
INVSTMNT_PRPRTY_HFS,Investment property,Non_financial_asset,"Type_non-financial_asset= 2 investment property not taken into possession ,3 Investment property taken into possession before the period, 4 Investment property taken into possession during  the period possession",,filter2,
NN_FNNCL_ASSTS_HFS,,,,,,
HRCTS_TRDNG_ASSTS_FV,?,Non_financial_asset,?,,filter51,X
HRCTS_TRDNG_LBLTS_FV,,,,,,
INVSTMNT_PRPRTY,?,Non_financial_asset,?,,filter52,X
LNS_ADVNCS_FVH,,,,,,
OTHR_ASSTS,?,Non_financial_asset,?,,filter53,X
OTHR_FNNCL_LBLTS_FNNCL_GRNTS,,,,,,
OTHR_FNNCL_LBLTS_CMMTMNTS_GVN,,,,,,
OTHR_FNNCL_LBLTS,,,,,,
OTHR_FNNCL_LBLTS_FVH,,,,,,
OTHR_INTNGBL_ASSTS,,,,,,
OTHR_LBLTS,,,,,,
PRPRTY_PLNT_EQPMNT,?,Non_financial_asset,?,,filter54,X
PRVSNS_CMMTMNTS_GVN,,,,,,
PRVSNS,Provision,Non-financial_liability,"Type_non-financial_liability in 701	Provisions. Funds for general banking risks: BAD art 38.1; CRR art 4(112); Annex V.Part 2.15 ,702	Provisions. Employee benefits. Other than pension and other post-employment defined benefit obligations: IAS 19.153; IAS 1.78(d); Annex V.Part 2.10,703	Provisions. Employee benefits. Pension and other post-employment defined benefit obligations: IAS 19.63; IAS 1.78(d); Annex V.Part 2.9,704	Provisions. Restructuring: IAS 37.71, 84(a),705	Provisions. Pending legal issues and tax litigation: IAS 37.Appendix C. Examples 6 and 10,707	Provisions. Other than Employee benefits, Restructuring, Pending legal issues and tax litigation, Off-balance sheet exposures subject to credit risk: IAS 37.14",,filter1,
PRVSNS_AGGRGT,,,,,,
SBSDRS_ASSCTS_JNT_VNTRS,?,Non_financial_asset,?,,filter5,X
SBSDRS_ASSCTS_JNT_VNTRS_INSTRMNT_UNQ_IDS,,,,,,
SHR_CPTL_DMND,Share Capital repayment on demand,Non_financial_liability,?,,filter2,
SHR_CPTL_RPYBL_DMND,Share Capital repayment on demand,Non_financial_liability,730 Share capital repayable on demand: IAS 32 IE 33; IFRIC 2; Annex V.Part 2.12,,filter2,
SHRT_PSTNS_FVH,Short security position,Security_position,Type_Security_Position = Short debt Security,,filter4,
NN_FNNCL_ASSTS,,,,,,
TX_ASSTS,Tax Asset,Non_financial_asset,Type_non-financial_asset=440  Current tax assets: IAS 1.54(n); IAS 12.5 or Type_non-financial_asset=450  Deferred tax assets: for nGaap: Accounting Directive art 17(1)(f); CRR art 4(1)(106)for IFRS: IAS 1.54(o); IAS 12.5; CRR art 4(1)(106),,filter6,X
TX_LBLTS,,,,,,
CMMTMNTS_GVN_CSTMRS,,,,,,
CMMTMNTS_GVN_CSTMRS_PRTCTNS,,,,,,
CMMTMNTS_GVN,,,,,,
CMMTMNTS_RCVD_CSTMRS,,,,,,
CNTRPRTS,,,,,,
DBT_SCRTS_DBTRS,Security Position,Security_position,Type_Security_Position = Long  debt Security,,filter55,X
DBT_SCRTS_DBTRS_PRTCTNS,,,,,,
DBT_SCRTS_ISSD_CSTMRS,,,,,,
DBT_SCRTS_ISSD,,,,,,
DPSTS_THT_LBLTS_CSTMRS,,,,,,
DPSTS_THT_LBLTS,,,,,,
DRVTVS_CSTMRS,,,,,,
DRVTVS,,,,,,
DRVTVS_TRS,,,,,,
DRVTVS_MSTR_NTTNG_CRRNG_AMNT,,,,,,
MSTR_NTTNG_PSTN_IDS,,,,,,
PRCSSD_IDS,,,,,,
DRVTVS_IDS,,,,,,
DRVTVS_SMPL_IDS,,,,,,
DRVTVS_SMPL,,,,,,
DRVTVS_TRS_FV,,,,,,
DRVTVS_ASSTS,,,,,,
DRVTVS_LBLTS,,,,,,
DRVTVS_MSTR_NTTNG,,,,,,
EQTY_INSTRMNTS_DBTRS,Security Position,Security_position,Type_Security_Position = Long  debt Security,,filter56,X
EQTY_INSTRMNTS_DBTRS_PRTCTNS,,,,,,
EQTY_NT_SCRTS,,,,,,
EQTY_SCRTS,,,,,,
EQTY_INSTRMNTS,,,,,,
EQTY_INSTRMNTS_NT_SCRTS,,,,,,
FNNCL_GRNTS_RCVD,,,,,,
GDWLL,?,Non_financial_asset,?,,filter57,X
GRP,,,,,,
INSTRMNTS_ORGNTR,,,,,,
INSTRMNTS_SRVCRS,,,,,,
LNS_ADVNCS_DBTRS,?,Non_financial_asset,?,,filter58,X
LNS_ADVNCS_DBTRS_PRTCTNS,,,,,,
LNS_ADVNCS,,,,,,
MSTR_NTTNG_AGRMNT,,,,,,
NN_FNNCL_LBLTS,,,,,,
OTHR_FNNCL_LBLTS_CSTMRS,,,,,,
OTHR_FNNCL_LBLTS_NT_FNNCL_GRNTS_LN_CMMTMNTS_GVN,,,,,,
PRDNTL_CNSLDTN_SCP,,,,,,
PRTCTNS_NT_RL_ESTT,,,,,,
PRTCTNS_RL_ESTT,,,,,,
PRTCTNS_RCVD,,,,,,
PRTCTNS_RCVD_SUB,,,,,,
RPRCHS_AGRMNT_LNS,,,,,,
RPRCHS_AGRMNT_SCRTS,,,,,,
