Main_Category,Name,LDM,IL,DomainToFilter,Filter,Joins,Notes
EBA_MC_EBA_x44,Cash_on_hand,Cash_On_Hand,Cash_on_hand,,,,
EBA_MC_EBA_x60,Debt_Securities,Debt_Security,security_and_exchange_traded_derivative,,Type_Security_and_exchange_tradable_derivative=11_Debt_security_without_underlying_assets,,
EBA_MC_EBA_x146,Securities_issued,Debt_security_issued_(by_the_reporting_agent),Debt_security_issued_(by_the_reporting_agent),,Debt_Seccurity_issued_type_=_1_fair_valued__debt_Security_ISsues,,
EBA_MC_EBA_x135,Deposits,Deposits,Instrument,,Type_Instrument_(input_layer)=_12_Deposit_Redeemable_At_Notice_or_Type_Instrument_=_522_Deposits_with_agreed_maturity_-_other_than_counterpart_liability_to_non-derecognised_loans_or_Type_Instrument_=512__Other_overnight_deposits_or_Type_Intrument_=_511_Tranferable_deposit,,
EBA_MC_EBA_x99,Derivatives,Over_the_counter_(OTC)_Derivative_instrument,Instrument,,"Type_Instrument_=_12_OTC_Option_other_than_OTC_Credit_spread_option,_or_Type_Instrument_=5_Other_OTC_Derivative_instrument,_or_Type_Instrument_=_6_OTC_Total_return_swap,_or_Type_Instrument_=_7_OTC_Credit_default_swap,_or_Type_Instrument_=_8_Other_OTC_Swap,_or_Type_Instrument_=_9_OTC_Credit_spread_option_or_Type_Instrument_=_380_Forward:_Forwards_are_derivative_contracts_between_two_parties_to_buy_or_to_sell_an_asset_at_a_specified_future_time_at_a_price_agreed_upon_today__with_positive_balance",,"complete?Trading_financial_assets’_includes_all_financial_assets_classified_as_trading_under_the_relevant_national_GAAP_based_on_BAD._Irrespective_of_the_measurement_methodology_applied_under_the_relevant_national_GAAP_based_on_BAD,_all_derivatives_with_a_positive_balance_for_the_reporting_institution_that_are_not_classified_as_hedge_accounting_in_accordance_with_paragraph_22_of_this_Part_shall_be_reported_as_trading_financial_assets."
EBA_MC_EBA_x99,Derivatives,Exchange_tradable_derivative_position,Exchange_tradable_derivative_position,,with_positive_balance,,
EBA_MC_EBA_x130,Equity_Instruments,Long_equity_or_fund_security_position,Security_position,,Type_Security_Position_=2__Long_equity_or_fund_security_position,,
EBA_MC_EBA_x691,Fair_value_changes,?,?,,?,,
EBA_MC_EBA_x469,Loans_and_advances,Loan_(excluding_repurchase_agreement)_and_advance,Instrument,,Type_Instrument_=_1022_other_loans_or_11other_advance,,
EBA_MC_EBA_x329,Tangible_assets,?,Non-financial_asset,,,,
EBA_MC_EBA_x184,Goodwill,Goodwill,Non-financial_asset,Type_of_Non-financial_asset(IL),Type_of_Non-financial_asset_=_Type_of_Non-financial_asset(IL).420_Intangible_assets._Goodwill,,we_don’t_have_a_seperte_goodwill_and_nott_goodwill
EBA_MC_EBA_x210,Intangible_assets_other_than_Goodwill,,Non-financial_asset,Type_of_Non-financial_asset(IL),Type_of_Non-financial_asset_=_Type_of_Non-financial_asset(IL).420_Intangible_assets._Goodwill,,we_don’t_have_a_seperte_goodwill_and_nott_goodwill
EBA_MC_EBA_x56,Current_tax_assets,Current_tax_asset,Non-financial_asset,Type_of_Non-financial_asset(IL),Type_of_Non-financial_asset_=_450_Deferred_tax_assets,,We_should_have_a_member_for_current_tax_assets?
EBA_MC_EBA_x76,Deferred_tax_assets,Deferred_tax_asset,Non-financial_asset,Type_of_Non-financial_asset(IL),Type_of_Non-financial_asset_=_Current_tax_assets,,
EBA_MC_EBA_x624,Haircuts_for_trading_assets_at_fair_value,?,?,,?,,
