Logical_Type_ID,LT_Name,Native_Type,RDBMS_Type,RDBMS_Version,Has_Size,Has_Precision,Has_Scale
LOGDT017,"unknown","UNKNOWN",Oracle Database,21c,N,N,N,
LOGDT017,"unknown","UNKNOWN",Oracle Database,12cR2,N,N,N,
LOGDT017,"unknown","UNKNOWN",Oracle Database,12c,N,N,N,
LOGDT017,"unknown","UNKNOWN",Oracle Database,11g,N,N,N,
LOGDT017,"unknown","UNKNOWN",Oracle Database,10g,N,N,N,
LOGDT017,"unknown","UNKNOWN",Oracle,9i,N,N,N,
LOGDT017,"unknown","UNKNOWN",SQL Server,2012,N,N,N,
LOGDT017,"unknown","UNKNOWN",SQL Server,2008,N,N,N,
LOGDT017,"unknown","UNKNOWN",SQL Server,2005,N,N,N,
LOGDT017,"unknown","UNKNOWN",SQL Server,2000,N,N,N,
LOGDT017,"unknown","UNKNOWN",DB2/390,8,N,N,N,
LOGDT017,"unknown","UNKNOWN",DB2/390,7,N,N,N,
LOGDT017,"unknown","UNKNOWN",DB2/UDB,9,N,N,N,
LOGDT017,"unknown","UNKNOWN",DB2/UDB,8.1,N,N,N,
LOGDT017,"unknown","UNKNOWN",DB2/UDB,7.1,N,N,N,
LOGDT005,"Audio","BLOB",Oracle Database,21c,N,N,N,
LOGDT005,"Audio","BLOB",Oracle Database,12cR2,N,N,N,
LOGDT005,"Audio","BLOB",Oracle Database,12c,N,N,N,
LOGDT005,"Audio","BLOB",Oracle Database,11g,N,N,N,
LOGDT005,"Audio","BLOB",Oracle Database,10g,N,N,N,
LOGDT005,"Audio","BLOB",Oracle,9i,N,N,N,
LOGDT005,"Audio","BINARY",SQL Server,2012,N,N,N,
LOGDT005,"Audio","BINARY",SQL Server,2008,N,N,N,
LOGDT005,"Audio","BINARY",SQL Server,2005,N,N,N,
LOGDT005,"Audio","BINARY",SQL Server,2000,N,N,N,
LOGDT005,"Audio","BLOB",DB2/390,8,N,N,N,
LOGDT005,"Audio","BLOB",DB2/390,7,N,N,N,
LOGDT005,"Audio","BLOB",DB2/UDB,9,N,N,N,
LOGDT005,"Audio","BLOB",DB2/UDB,8.1,N,N,N,
LOGDT005,"Audio","BLOB",DB2/UDB,7.1,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","BFILE",Oracle Database,21c,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","BFILE",Oracle Database,12cR2,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","BFILE",Oracle Database,12c,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","BFILE",Oracle Database,11g,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","BFILE",Oracle Database,10g,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","BFILE",Oracle,9i,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","VARCHAR",SQL Server,2012,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","VARCHAR",SQL Server,2008,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","VARCHAR",SQL Server,2005,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","VARCHAR",SQL Server,2000,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","VARCHAR",DB2/390,8,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","VARCHAR",DB2/390,7,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","DATALINK",DB2/UDB,9,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","DATALINK",DB2/UDB,8.1,N,N,N,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,"BFile","DATALINK",DB2/UDB,7.1,N,N,N,
LOGDT027,"BIGINT","INTEGER",Oracle Database,21c,N,N,N,
LOGDT027,"BIGINT","INTEGER",Oracle Database,12cR2,N,N,N,
LOGDT027,"BIGINT","INTEGER",Oracle Database,12c,N,N,N,
LOGDT027,"BIGINT","INTEGER",Oracle Database,11g,N,N,N,
LOGDT027,"BIGINT","INTEGER",Oracle Database,10g,N,N,N,
LOGDT027,"BIGINT","INTEGER",Oracle,9i,N,N,N,
LOGDT027,"BIGINT","BIGINT",SQL Server,2012,N,N,N,
LOGDT027,"BIGINT","BIGINT",SQL Server,2008,N,N,N,
LOGDT027,"BIGINT","BIGINT",SQL Server,2005,N,N,N,
LOGDT027,"BIGINT","BIGINT",SQL Server,2000,N,N,N,
LOGDT027,"BIGINT","INTEGER",DB2/390,8,N,N,N,
LOGDT027,"BIGINT","INTEGER",DB2/390,7,N,N,N,
LOGDT027,"BIGINT","BIGINT",DB2/UDB,9,N,N,N,
LOGDT027,"BIGINT","INTEGER",DB2/UDB,8.1,N,N,N,
LOGDT027,"BIGINT","INTEGER",DB2/UDB,7.1,N,N,N,
LOGDT033,"BINARY","RAW",Oracle Database,21c,N,N,N,
LOGDT033,"BINARY","RAW",Oracle Database,12cR2,N,N,N,
LOGDT033,"BINARY","RAW",Oracle Database,12c,N,N,N,
LOGDT033,"BINARY","BLOB",Oracle Database,11g,N,N,N,
LOGDT033,"BINARY","BLOB",Oracle Database,10g,N,N,N,
LOGDT033,"BINARY","BLOB",Oracle,9i,N,N,N,
LOGDT033,"BINARY","BINARY",SQL Server,2012,N,N,N,
LOGDT033,"BINARY","BINARY",SQL Server,2008,N,N,N,
LOGDT033,"BINARY","BINARY",SQL Server,2005,N,N,N,
LOGDT033,"BINARY","BINARY",SQL Server,2000,N,N,N,
LOGDT033,"BINARY","BLOB",DB2/390,8,N,N,N,
LOGDT033,"BINARY","BLOB",DB2/390,7,N,N,N,
LOGDT033,"BINARY","BLOB",DB2/UDB,9,N,N,N,
LOGDT033,"BINARY","BLOB",DB2/UDB,8.1,N,N,N,
LOGDT033,"BINARY","BLOB",DB2/UDB,7.1,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,21c,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,12cR2,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,12c,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,11g,N,N,N,
LOGDT056,"BINARY DOUBLE","BINARY_DOUBLE",Oracle Database,10g,N,N,N,
LOGDT056,"BINARY DOUBLE","NUMBER",Oracle,9i,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2012,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2008,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2005,N,N,N,
LOGDT056,"BINARY DOUBLE","FLOAT",SQL Server,2000,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/390,8,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/390,7,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/UDB,9,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/UDB,8.1,N,N,N,
LOGDT056,"BINARY DOUBLE","DOUBLE",DB2/UDB,7.1,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,21c,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,12cR2,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,12c,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,11g,N,N,N,
LOGDT055,"BINARY FLOAT","BINARY_FLOAT",Oracle Database,10g,N,N,N,
LOGDT055,"BINARY FLOAT","NUMBER",Oracle,9i,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2012,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2008,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2005,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",SQL Server,2000,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/390,8,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/390,7,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/UDB,9,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/UDB,8.1,N,N,N,
LOGDT055,"BINARY FLOAT","REAL",DB2/UDB,7.1,N,N,N,
LOGDT034,"BIT","CHAR",Oracle Database,21c,Y,N,N,
