Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Approach For Prudential Purposes",2AE3404A-A40F-BF7C-1846-1BA75AF19102,126,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,97747AC4-2F3B-A948-FB89-3D6C844ECC71,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Approach For Prudential Purposes",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,3,3,,,,
"Base",B07F573C-48AE-8DCF-692E-72D627DEE5BC,127,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,4C5C6DA6-F352-DA68-3066-9A084355A5F4,2,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Base",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,1,3,,,,
"Bucket identifier",6BC2DE1C-153B-26E6-36D1-0A80BB9E79F2,128,,34908E02-53E1-6647-E07D-2921F33DDF28,113,N,Domain,,,,,78E25C16-8968-20B4-E330-DA4578EE46CF,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String",String,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,6,156,,,,
"Bucket identifier",F8B8AE88-FB81-3E00-8C7E-337E33856AA6,129,,972DD5CD-E47A-05C9-2C63-F05F49DAC772,124,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,8A435338-B4A4-2099-1C8C-79701D2E8625,223,"Total delta sensitivity per bucket_derived",,F,"Delta sensitivity totals",4,,,,,
"Bucket identifier",90891703-CA7F-C586-8E3D-CD4B4557C609,130,,BA2E3C75-93F0-6645-DA84-7698317A75B1,112,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"KB per bucket_derived",P,,,2,,,,,
"ccy1",1436AD10-075E-7747-A4F0-16924D5282AF,131,,FCC84A65-A0A9-DCAF-8285-6A6BAF8B921C,110,N,Domain,,,,,78E25C16-8968-20B4-E330-DA4578EE46CF,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String",String,,,,,,,,"FX risk factor",,,,1,156,,,,
"ccy2",CEA079F2-E011-E332-677A-8E2446896C08,132,,FCC84A65-A0A9-DCAF-8285-6A6BAF8B921C,110,N,Domain,,,,,78E25C16-8968-20B4-E330-DA4578EE46CF,27,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String",String,,,,,,,,"FX risk factor",,,,2,156,,,,
"Commodity type",41D094AE-CB6D-8185-8855-6D21A8F9D77C,133,,E5488186-437C-BC1C-8AC2-048D08999A0A,102,N,Domain,,,,,674DA4DA-389E-A8EE-AE58-A91EA11BCF81,4,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Commodity type",String,,,,,,,,"Commodity risk factor",,,,1,3,,,,
"Contingent Scenario",537652CF-7CF1-82BE-5FF6-C439283E39E3,134,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,CE6CE2E4-41F9-32C8-4F4A-C8C8E6B52BCB,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Contingent Scenario",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,8,3,,,,
"CSR credit quality",4A855998-5B1B-F6B7-9A7F-F5A2D53D0A2F,135,,41723CFA-4325-D82E-7C07-BBF4BEA5B19D,103,N,Domain,,,,,EAE9AB06-8C26-B8CC-733E-02CAD25C9CC8,19,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Rating grade",String,,,,,,,,"CSR non securitisation risk factor",,,,2,3,,,,
